Temperatura,Horas_Operacion,Carga,Humedad,Consumo_Energia
34.9,5.9,54.3,44.5,25.55
21.7,7.4,31.9,64.6,21.81
28.4,9.5,34.5,53.0,28.71
32.4,10.5,52.7,79.8,29.2
34.1,11.3,32.7,46.9,32.85
22.9,4.2,65.9,81.4,21.94
30.4,4.2,35.9,53.4,18.81
18.3,6.6,51.2,49.4,20.7
32.9,5.1,91.2,41.1,26.21
19.1,3.1,47.7,46.2,15.28
30.5,11.7,58.1,62.8,31.7
34.9,8.9,91.1,73.4,30.71
26.5,9.3,81.5,55.2,34.46
21.6,9.8,93.2,74.0,27.85
28.1,3.0,91.3,87.6,24.15
28.6,10.9,41.3,74.5,31.25
29.4,8.5,66.3,52.8,26.1
20.9,4.1,98.1,84.6,22.36
33.3,6.6,37.1,81.4,21.72
28.6,5.1,46.8,74.3,22.69
18.7,11.3,64.5,79.5,35.26
29.6,6.9,30.1,56.1,26.52
21.3,11.1,54.6,60.0,31.61
18.5,5.1,47.3,63.7,19.98
27.4,10.9,57.4,60.1,32.24
31.8,9.4,51.7,70.3,29.63
32.6,11.3,97.3,50.6,37.94
19.8,4.3,72.7,78.9,22.22
29.3,5.3,70.2,81.3,27.53
30.1,11.0,53.3,59.0,37.06
23.0,2.1,84.0,72.0,18.96
34.5,3.2,98.3,81.2,25.52
22.7,2.5,70.9,89.8,16.41
19.2,9.9,66.2,75.8,28.4
26.8,11.7,55.1,71.8,35.49
29.8,9.2,73.4,63.4,30.13
22.2,11.2,72.1,60.5,34.23
23.8,11.2,63.5,69.6,31.24
27.6,9.0,66.9,89.3,30.96
33.1,8.1,57.2,58.7,26.49
30.7,5.6,72.3,61.5,26.34
21.6,6.9,78.5,67.1,28.25
22.3,7.2,93.2,47.7,31.14
26.9,11.5,58.0,85.5,31.73
31.1,2.3,51.1,84.0,17.47
28.5,10.9,94.0,70.8,37.22
26.5,3.6,53.1,60.0,20.63
28.2,9.1,94.0,51.5,35.17
30.9,7.6,73.7,50.3,28.92
27.1,2.3,86.0,89.1,16.98
33.3,2.9,88.2,63.6,23.6
34.1,3.8,50.6,54.3,17.39
33.6,5.5,60.6,65.5,20.8
30.8,2.3,46.8,76.3,15.31
22.2,5.8,89.4,55.8,28.74
24.5,2.5,91.0,63.2,22.2
22.8,9.6,65.6,73.4,30.59
29.2,10.3,73.8,82.5,31.94
23.5,7.6,81.1,66.6,31.75
30.8,3.7,92.5,59.4,23.86
19.9,8.9,38.2,49.8,23.26
31.2,3.2,46.5,70.4,19.08
28.0,11.6,85.2,56.7,35.56
32.2,3.6,47.0,60.4,16.53
25.3,8.7,90.0,63.9,31.7
28.6,9.4,49.2,44.2,25.9
27.4,7.6,66.6,56.1,23.92
34.6,2.6,84.8,81.8,22.43
30.8,10.5,39.2,76.3,31.12
27.3,9.9,41.7,56.8,31.04
21.0,9.0,48.1,53.5,28.72
33.4,3.7,34.1,88.5,20.07
21.5,3.3,43.9,50.4,15.01
29.1,8.2,41.4,58.9,24.27
33.9,3.4,44.1,79.1,19.8
21.8,9.9,78.0,73.2,32.63
21.8,5.4,32.3,88.9,19.11
32.5,3.4,92.0,77.5,21.71
32.1,4.9,42.7,77.5,26.21
24.0,4.2,79.5,75.4,24.67
22.5,5.7,54.3,60.4,19.55
20.2,8.4,65.4,77.9,29.26
34.8,9.1,77.3,57.8,32.0
32.2,10.5,70.6,87.2,34.46
33.3,7.8,50.5,82.1,28.68
26.7,7.6,37.0,68.0,22.2
19.9,3.8,81.6,85.8,23.87
18.9,2.9,69.6,61.2,18.7
23.6,11.4,49.1,85.6,33.22
33.6,5.0,73.9,45.5,24.46
34.1,5.1,88.0,76.0,24.39
32.3,11.8,64.7,79.7,36.59
20.7,2.1,67.8,84.5,16.19
25.1,11.2,82.7,88.7,35.13
22.2,3.3,82.0,74.0,21.96
21.5,7.2,34.6,80.9,26.23
29.6,2.7,30.2,50.8,14.11
26.3,2.3,71.9,49.4,18.13
23.5,7.7,90.1,86.6,31.1
19.7,6.9,87.9,47.6,26.97
27.3,4.5,99.0,89.0,26.17
23.9,7.7,33.4,65.3,20.42
24.6,9.9,44.8,62.3,24.12
23.3,8.8,44.7,77.1,26.51
24.6,4.7,56.8,42.8,19.3
27.4,8.1,75.7,65.7,26.11
18.2,4.5,83.9,82.2,25.58
32.4,7.4,53.6,60.3,29.51
33.7,6.3,51.4,65.5,25.2
27.4,6.9,42.4,40.3,24.59
22.6,7.4,43.8,60.5,24.43
34.8,4.9,65.3,71.5,21.59
24.5,6.6,64.7,75.6,25.47
29.8,10.7,65.7,80.6,34.17
29.7,10.8,76.9,57.6,35.65
25.4,3.3,73.0,81.8,22.62
21.4,8.7,52.4,71.3,27.22
34.4,7.6,36.1,60.0,29.51
19.1,8.9,47.1,64.4,27.38
26.2,4.0,47.9,55.5,22.48
21.8,7.5,48.8,81.4,29.85
23.0,10.3,85.0,50.2,29.4
32.1,9.4,38.5,60.2,26.41
24.2,11.6,33.7,58.4,33.32
19.4,10.5,66.3,69.7,29.73
21.3,9.9,48.9,49.3,30.77
32.6,10.0,94.7,60.4,33.5
34.6,5.9,80.8,60.7,24.57
22.6,6.0,99.1,47.3,22.63
29.5,4.0,98.4,40.6,22.18
19.4,10.9,67.5,73.2,35.43
30.3,7.6,63.0,76.7,28.21
25.1,11.9,48.0,59.4,32.56
33.6,2.7,80.4,66.2,22.65
23.3,10.2,94.9,42.3,34.34
34.0,2.2,84.8,83.2,23.98
26.6,8.9,58.7,46.7,29.99
23.9,4.7,41.1,85.6,15.73
29.0,10.8,75.4,60.7,33.8
22.2,6.5,81.5,58.3,24.44
21.9,7.5,74.0,69.0,25.75
21.3,8.1,35.6,50.8,24.0
34.3,10.4,65.8,80.3,34.91
26.4,10.3,84.5,47.6,34.09
30.8,9.8,58.3,87.3,27.97
26.1,10.0,48.8,80.3,28.09
28.0,8.2,51.6,83.6,27.91
27.9,3.0,46.2,87.0,19.22
34.7,3.8,89.9,59.2,26.18
29.4,8.9,71.5,63.1,26.81
22.1,3.9,84.0,67.2,20.35
18.3,6.8,40.9,49.8,22.34
21.7,2.6,61.1,43.9,16.68
25.7,2.6,91.8,44.6,21.75
24.7,2.6,58.7,70.9,15.22
31.8,3.7,55.2,77.2,20.22
31.4,6.9,39.2,82.8,24.74
19.5,6.1,73.7,49.6,25.96
34.2,9.7,59.5,82.6,25.45
27.0,6.4,60.8,84.3,24.73
28.1,8.1,61.3,72.2,31.1
24.9,4.5,69.7,88.7,22.74
29.0,10.7,80.9,58.6,33.37
32.8,7.6,70.3,44.6,30.67
29.5,10.6,30.5,53.0,32.12
34.5,4.5,35.9,44.8,19.28
29.9,11.9,83.7,64.2,36.64
32.0,4.6,85.4,50.8,24.78
18.8,8.5,46.5,44.6,23.66
29.4,3.6,53.4,42.5,22.12
29.1,2.5,67.8,54.4,17.26
19.7,8.3,91.8,52.2,30.92
32.3,10.7,44.2,77.8,30.64
28.4,2.8,90.0,61.1,21.73
19.7,7.4,44.9,67.4,25.53
28.1,10.6,31.5,70.8,26.86
26.1,9.2,83.1,44.3,30.68
22.0,8.0,66.3,47.3,26.01
18.3,8.5,72.1,79.5,27.36
24.2,8.9,55.5,79.9,32.96
28.5,11.1,84.4,65.6,33.37
23.6,4.6,65.6,86.2,20.85
23.2,10.2,50.3,75.2,30.65
30.8,9.1,87.8,71.6,32.55
30.9,4.1,39.9,84.3,17.96
30.2,10.1,99.0,62.4,36.02
19.7,3.9,75.1,73.0,20.73
26.8,3.2,77.7,71.4,21.79
27.5,7.3,41.2,70.0,24.19
30.7,2.0,60.9,74.7,17.95
33.4,10.7,74.0,59.5,34.7
24.3,5.2,34.0,44.6,20.64
25.3,6.3,85.7,59.9,29.47
30.5,5.0,56.3,69.7,21.33
29.3,10.2,76.8,85.4,29.05
27.5,6.2,63.3,64.4,24.37
24.0,8.7,73.2,48.6,26.05
21.3,3.8,73.1,67.1,22.82
21.1,2.6,90.0,79.0,19.39
19.4,7.8,78.1,58.9,29.23
19.4,7.5,30.4,80.0,21.28
32.4,8.4,48.7,44.4,26.75
24.5,10.1,38.2,40.9,29.71
19.0,5.7,37.6,41.0,25.45
33.2,10.6,52.9,59.4,34.37
21.8,2.6,98.2,69.8,23.18
22.6,3.5,46.0,50.9,17.54
21.3,7.1,84.6,62.7,23.79
34.4,7.1,77.9,45.8,25.51
19.9,6.5,78.2,67.5,27.62
30.3,3.4,66.8,45.1,18.8
33.8,8.7,73.3,67.2,29.12
29.4,5.9,88.7,54.1,27.91
32.6,4.8,80.5,80.4,25.99
22.1,3.9,67.9,51.7,18.45
29.5,11.0,53.1,54.6,29.18
29.9,10.0,39.5,88.2,29.68
25.8,3.7,84.1,55.5,19.54
32.8,2.1,46.9,58.2,17.76
29.8,3.2,62.0,58.2,20.27
33.2,3.1,64.2,61.0,18.78
30.8,9.6,52.7,46.9,30.63
26.8,6.1,56.4,57.5,24.56
26.5,5.7,77.9,53.0,27.81
25.7,6.3,59.7,75.0,27.7
18.4,9.4,92.2,73.6,29.85
27.1,8.6,95.2,70.8,28.8
25.2,9.2,66.3,58.5,29.12
20.7,7.9,47.0,86.7,24.29
20.0,5.0,36.5,71.3,16.17
25.6,5.0,33.3,59.6,17.65
18.7,4.7,84.3,89.5,23.04
34.8,11.4,83.0,67.0,32.7
24.4,3.2,98.9,74.1,24.73
24.5,4.8,79.7,64.6,23.55
18.9,10.3,47.9,59.7,32.41
25.3,11.9,87.6,72.6,36.52
18.3,4.2,31.0,87.1,19.24
18.5,11.7,81.8,52.1,34.62
23.8,9.3,68.8,64.2,28.47
32.0,5.8,88.0,58.9,27.12
25.8,5.4,57.9,74.8,25.78
18.3,10.7,32.4,59.7,27.61
20.8,4.8,93.3,43.1,25.75
30.6,5.1,75.5,66.6,26.08
30.6,2.3,98.5,40.3,23.45
30.8,7.1,74.9,78.6,25.95
24.0,4.1,61.6,86.3,18.0
24.0,11.9,44.9,59.7,30.31
31.6,3.5,36.5,51.8,21.92
24.8,10.8,78.1,48.8,36.62
30.4,3.5,67.4,49.7,19.37
27.9,6.0,79.3,63.6,22.24
24.2,8.3,75.3,89.2,28.08
19.4,11.1,30.1,78.2,28.63
20.0,10.9,80.3,77.8,33.4
33.1,4.0,80.1,61.3,25.32
25.7,3.8,82.1,42.7,17.13
34.9,9.2,34.7,68.3,23.6
24.2,4.4,73.1,47.8,22.65
22.2,11.5,73.8,77.2,35.7
24.0,2.3,81.2,49.5,18.7
23.8,3.9,36.8,60.7,13.21
28.8,3.1,59.8,60.4,16.05
18.2,8.8,59.3,87.4,24.07
31.0,2.2,55.1,61.8,17.14
25.1,7.5,66.6,60.7,24.56
25.3,9.8,36.7,80.0,25.84
26.2,3.2,47.6,61.2,17.07
25.6,3.4,97.8,44.6,24.58
26.5,3.6,31.9,85.2,19.79
23.9,3.4,45.1,89.9,19.96
25.7,9.5,54.1,47.6,26.78
24.9,5.4,50.5,57.8,22.65
26.8,7.3,95.4,66.7,28.18
28.6,2.3,70.0,40.6,16.13
22.1,10.0,61.6,69.4,32.6
26.6,2.1,55.5,60.0,13.19
28.1,11.6,64.4,56.8,36.26
18.3,11.7,36.7,41.5,29.69
26.8,2.3,62.7,57.0,15.88
22.1,2.8,87.3,43.9,23.04
24.9,7.5,63.3,63.3,21.36
32.1,5.5,41.1,47.9,19.91
23.5,8.3,49.8,48.8,24.9
26.2,8.5,31.5,79.2,21.99
18.4,2.3,81.2,41.4,21.99
23.2,4.2,57.8,65.1,21.86
28.9,8.7,41.6,68.1,27.34
23.4,4.0,95.4,49.2,23.36
21.5,2.5,87.0,62.2,18.81
22.9,7.4,40.1,77.4,27.06
34.2,3.5,56.0,54.9,22.56
19.5,11.0,57.6,85.3,28.25
25.9,10.3,94.3,51.5,34.91
19.0,9.6,88.2,88.1,35.69
27.2,10.3,63.9,53.7,30.6
20.5,10.0,50.6,80.5,29.73
28.8,9.9,74.7,79.0,35.16
22.5,12.0,59.3,67.0,31.75
29.7,9.5,33.4,48.1,23.87
23.9,6.9,38.7,70.6,23.49
18.1,8.7,88.2,45.6,29.68
23.0,3.4,96.8,79.3,20.94
19.4,2.4,84.7,87.7,15.74
26.4,4.8,41.0,67.0,22.6
22.9,6.8,86.9,48.4,30.79
28.9,3.8,42.5,46.0,17.66
26.5,9.8,41.9,88.3,32.33
18.6,11.0,61.1,77.5,29.74
23.4,4.1,38.2,87.6,19.92
26.3,9.5,97.3,53.2,34.5
27.7,4.6,61.9,50.0,21.89
19.8,5.5,36.3,41.2,19.33
29.0,4.6,55.6,84.3,16.46
23.8,4.1,43.6,48.2,22.86
21.1,4.8,53.0,70.6,20.71
31.7,5.6,90.6,88.5,27.27
19.2,3.9,31.9,81.5,18.04
33.8,10.6,74.7,54.1,30.96
30.0,2.5,52.1,89.9,21.23
26.1,8.7,54.8,65.2,26.36
18.2,6.6,87.9,70.3,26.7
24.6,7.4,92.5,40.7,27.37
29.0,11.0,82.5,49.8,32.42
32.6,3.8,79.9,85.0,23.91
28.5,4.6,76.4,58.3,22.46
24.8,6.1,48.9,63.5,24.99
25.6,4.3,97.7,79.1,24.5
32.8,10.0,70.1,70.3,32.63
24.0,3.7,62.0,68.5,19.19
19.1,7.7,68.0,85.3,26.35
25.5,2.5,82.5,80.9,24.27
35.0,2.8,37.7,81.2,21.54
24.5,2.1,47.9,57.0,14.09
21.3,7.9,78.4,75.5,30.19
18.8,7.5,33.2,76.3,23.02
20.9,6.9,89.9,77.0,30.4
23.5,5.0,72.5,40.5,24.87
27.8,7.3,95.3,80.0,26.79
29.3,6.9,58.6,57.2,24.61
18.7,8.5,82.2,44.7,30.52
33.9,5.3,63.9,63.9,23.78
22.0,4.3,96.1,63.1,25.64
20.5,9.3,91.6,50.9,29.62
27.0,9.0,41.7,49.1,25.82
29.5,3.5,49.0,85.5,21.28
23.2,9.2,44.7,87.0,28.82
29.4,8.6,59.6,84.1,29.71
23.0,11.1,34.4,55.3,30.29
33.3,9.1,34.7,51.5,25.5
33.0,11.5,75.7,69.1,33.8
19.2,9.5,55.9,81.9,32.4
20.6,2.8,91.4,41.3,20.66
29.9,10.3,69.3,42.9,34.33
18.0,4.4,88.5,72.9,22.32
32.0,8.9,33.6,87.0,26.31
24.1,7.2,76.3,75.5,26.97
30.7,10.5,32.5,81.4,32.8
18.8,3.0,91.7,79.0,22.45
21.6,8.7,54.7,84.0,22.95
19.2,5.4,70.0,83.6,19.9
21.1,5.0,88.4,82.2,28.44
24.5,3.8,81.5,73.0,19.81
26.4,5.6,82.1,50.8,25.14
33.6,2.0,30.6,80.1,17.67
28.7,9.7,71.1,42.8,27.06
30.0,6.8,93.1,83.2,26.0
19.4,9.4,65.2,68.0,28.62
22.9,5.0,68.6,82.8,23.07
34.9,9.1,33.4,71.6,29.78
27.5,8.7,35.0,83.3,25.78
31.4,10.1,65.0,80.9,30.15
18.6,4.7,51.7,81.2,18.93
19.4,11.7,35.4,58.0,29.16
19.9,7.3,39.4,49.6,24.39
18.3,5.2,36.4,79.1,19.5
33.7,6.6,72.6,60.4,28.67
22.3,11.1,62.1,64.1,35.28
34.9,8.0,82.4,67.0,33.43
30.5,8.4,69.4,48.2,29.19
22.3,10.6,38.8,68.6,24.42
34.9,3.2,96.2,66.4,22.24
32.8,5.2,75.2,60.1,25.64
20.8,9.5,63.5,56.4,33.54
21.2,9.3,60.1,40.2,26.28
29.6,11.9,84.9,69.2,36.0
19.3,6.3,34.6,53.4,22.2
27.9,2.6,87.8,56.8,21.77
19.1,8.7,72.6,47.0,29.38
21.8,9.1,37.7,79.6,25.59
34.1,8.2,75.2,60.7,30.62
26.5,7.7,92.3,54.7,30.76
27.8,4.8,60.9,60.0,20.03
22.6,5.3,83.3,44.5,23.97
25.5,11.4,84.0,54.0,30.97
20.3,8.6,74.4,46.0,27.06
26.8,6.1,73.1,81.3,27.3
18.9,9.3,53.5,64.6,28.61
18.8,6.8,45.4,66.2,24.82
29.6,7.3,55.2,87.8,25.74
18.9,11.1,73.1,89.9,30.49
26.9,10.6,78.5,61.2,33.05
22.5,3.7,30.7,45.1,18.9
21.2,8.5,51.9,84.2,26.01
27.7,11.4,73.6,46.9,33.74
23.0,10.3,67.7,66.6,31.29
25.8,5.8,90.2,66.0,24.15
20.4,7.0,95.7,88.9,26.75
20.2,9.5,78.4,82.8,33.81
19.8,11.2,79.9,77.3,34.93
19.2,7.9,54.6,64.4,22.73
27.4,5.4,33.8,63.7,18.7
30.9,6.7,89.6,51.9,27.22
31.5,10.7,37.8,56.4,31.14
34.3,7.5,36.9,40.6,23.13
20.9,6.1,96.6,73.5,27.82
20.3,6.5,89.1,58.5,27.05
26.0,3.9,57.1,79.5,17.26
32.6,8.8,69.7,69.1,28.95
31.0,5.6,59.9,67.8,22.71
27.5,5.4,75.3,61.2,22.22
20.7,10.1,55.0,70.9,29.98
24.7,7.8,54.0,80.1,27.7
30.2,7.5,63.1,48.8,25.2
24.3,3.9,65.4,50.2,20.21
18.7,9.8,42.6,56.1,27.37
27.9,10.9,45.1,73.1,28.96
30.2,6.8,46.2,71.7,25.22
30.2,11.5,59.4,84.6,34.43
20.8,7.5,95.5,54.6,30.57
23.7,4.1,47.9,43.2,17.01
25.0,2.4,87.4,62.0,21.34
25.1,9.2,55.1,70.6,30.11
19.9,6.1,58.9,49.6,24.62
24.6,10.6,38.7,75.6,33.04
26.6,9.5,47.8,70.6,27.37
30.1,4.4,69.1,88.8,23.05
27.7,5.0,66.0,55.4,21.13
24.9,2.9,54.1,47.2,20.5
33.8,9.2,69.1,81.2,29.59
28.2,10.2,99.8,83.1,34.51
34.6,6.8,89.7,48.9,26.15
32.7,8.2,33.1,53.3,26.15
29.5,3.9,76.7,73.4,21.17
33.3,11.7,70.7,45.1,36.32
34.9,5.2,79.4,73.7,27.68
21.8,9.4,33.2,44.2,33.09
29.7,7.5,47.1,75.8,24.48
33.6,7.8,34.1,62.9,24.54
18.3,11.8,77.9,80.5,34.25
31.6,11.6,38.1,81.7,33.47
19.5,4.6,99.0,85.6,29.35
33.6,8.4,85.0,84.3,29.18
28.4,3.8,73.9,64.6,22.85
20.8,9.6,45.3,84.9,28.38
18.7,8.0,35.9,53.8,22.67
32.1,11.2,60.9,87.2,37.42
20.4,8.9,89.4,70.8,30.26
34.0,6.8,81.5,45.8,25.99
19.5,4.9,65.7,86.4,21.97
32.2,3.6,74.7,62.9,24.1
25.2,4.5,90.8,46.2,23.12
32.8,10.2,43.4,82.6,29.27
31.1,11.4,43.2,82.0,30.09
32.5,10.5,97.0,86.8,35.87
26.0,10.2,69.1,74.2,32.64
30.1,5.2,98.9,71.0,27.18
23.4,8.4,77.4,80.3,30.19
18.8,7.7,98.1,64.7,28.11
22.0,9.9,37.1,87.5,23.13
18.0,8.7,42.5,78.3,22.73
24.2,2.2,67.1,41.5,21.2
26.4,8.1,69.1,52.1,29.78
18.3,2.7,72.2,48.4,23.78
18.1,8.6,99.5,40.9,32.43
29.7,5.3,69.9,77.2,23.04
19.7,9.5,91.9,50.3,30.77
19.3,8.3,98.7,53.1,28.35
26.4,7.5,96.5,66.9,30.35
30.2,10.3,35.0,87.0,31.71
34.6,6.8,42.5,51.7,25.51
23.0,10.9,34.2,42.4,29.08
20.0,10.4,75.7,78.8,34.04
19.2,2.6,64.4,65.4,15.71
21.5,10.9,46.1,68.0,26.75
19.7,8.2,31.5,48.2,21.81
18.1,11.7,65.1,43.1,35.84
22.8,9.3,73.3,89.5,29.81
20.8,9.9,88.4,77.4,32.78
18.3,7.4,95.5,46.3,29.65
24.0,11.6,77.2,48.6,36.47
32.0,9.0,59.3,46.9,29.32
23.2,6.2,41.8,45.1,22.02
30.1,2.7,79.9,88.4,15.49
30.4,11.8,50.0,77.5,30.76
18.4,10.8,46.5,73.4,29.84
34.4,8.4,56.0,66.9,28.81
20.4,7.5,87.6,81.0,23.45
30.2,8.1,70.4,69.8,29.07
24.5,10.8,75.6,86.4,35.1
32.8,11.2,51.8,88.0,32.55
34.9,4.9,35.0,41.4,17.92
21.3,5.0,57.2,75.9,20.8
31.9,2.5,74.1,72.0,22.72
26.6,11.9,76.0,64.8,35.93
34.4,11.7,77.2,66.7,39.39
29.2,9.9,53.1,64.3,29.47
28.1,6.4,90.5,43.9,28.02
21.9,7.7,86.9,73.8,29.28
30.2,9.7,52.9,85.0,27.94
22.9,4.2,39.0,52.9,14.74
32.4,4.2,58.9,63.9,22.76
34.6,7.6,80.3,83.9,31.68
18.1,8.8,67.7,82.1,36.69
34.2,7.1,66.4,64.3,26.23
24.1,5.0,82.9,76.9,21.39
26.3,5.9,42.8,63.4,22.05
33.7,7.9,69.4,80.1,26.41
31.2,2.6,90.7,57.0,17.84
22.1,11.8,66.3,83.8,34.91
19.6,11.7,46.8,74.8,31.89
32.3,10.4,85.3,64.1,36.52
30.7,5.7,80.4,67.2,27.26
32.6,8.7,74.9,80.0,31.93
24.5,8.4,40.4,44.5,25.89
26.4,6.1,86.5,42.6,24.94
25.9,10.8,34.8,61.9,30.37
23.4,7.5,81.9,75.9,23.33
23.7,2.4,68.9,82.2,17.81
30.2,5.0,73.3,53.6,21.94
30.8,9.4,88.3,55.6,35.88
32.7,10.5,72.2,40.5,34.06
32.4,8.1,80.5,48.0,27.04
30.8,8.6,88.5,77.8,31.3
23.7,9.8,44.5,82.0,25.42
30.1,6.2,97.3,69.4,30.64
34.5,3.4,67.2,55.0,19.59
33.6,4.9,62.7,76.0,20.87
34.5,6.9,74.9,88.5,23.96
18.6,9.1,98.2,88.6,31.81
28.4,5.7,38.1,44.4,19.33
21.7,4.4,79.2,74.0,25.35
22.2,6.2,72.2,86.7,26.57
32.3,10.1,68.0,42.3,29.81
30.8,8.3,71.4,79.8,32.38
23.6,6.8,38.8,41.1,21.73
26.8,4.7,56.0,60.0,21.77
21.2,4.6,33.3,71.3,17.06
18.1,4.4,49.4,45.6,21.01
33.3,7.9,58.6,60.5,27.67
30.1,3.2,62.7,66.0,26.01
27.0,10.1,48.8,78.8,30.63
18.9,6.8,93.7,53.5,30.41
25.2,11.6,31.9,53.5,34.06
24.5,4.4,58.8,77.8,15.29
20.9,8.8,32.0,51.3,27.75
20.7,5.8,69.5,48.8,24.42
20.9,11.8,34.8,49.1,30.64
28.1,8.3,93.1,78.9,28.46
20.1,8.9,99.5,80.3,34.07
22.1,3.4,97.8,59.7,23.2
34.1,5.6,33.7,47.5,21.17
21.7,9.1,49.9,53.5,28.1
31.0,5.3,82.5,81.3,23.58
28.2,9.8,68.6,59.8,30.96
25.0,9.3,75.2,56.6,29.08
28.1,3.0,94.9,45.0,23.45
20.3,3.2,61.6,56.3,19.66
26.2,3.2,40.7,79.0,19.21
34.5,2.3,63.0,47.9,16.86
25.3,5.3,85.7,81.1,25.25
22.1,8.8,31.7,50.5,25.27
33.8,7.0,95.1,56.8,31.59
28.4,3.3,69.7,68.6,21.24
30.4,7.5,73.9,51.3,31.92
27.2,11.0,59.6,61.9,30.22
18.2,2.4,40.2,66.0,13.53
30.8,6.2,87.3,50.2,27.24
34.6,3.7,77.3,41.5,23.17
30.2,2.4,34.7,63.9,18.14
31.7,2.4,52.1,74.8,19.34
32.5,7.3,30.1,60.2,27.51
35.0,7.2,89.6,88.0,28.09
22.9,4.8,76.7,51.0,24.84
25.6,8.7,82.5,71.1,34.48
27.2,4.8,60.3,49.2,22.05
20.6,5.3,80.3,52.6,23.96
26.2,2.0,97.7,63.0,21.01
22.7,3.2,98.6,44.0,25.36
32.2,6.1,75.5,73.1,25.87
23.9,6.7,52.6,73.1,20.93
19.4,3.9,37.0,43.5,19.99
18.2,9.8,92.7,66.5,27.66
32.6,7.4,37.6,69.3,24.56
32.6,9.0,39.5,89.1,29.81
33.9,5.2,53.6,56.8,19.31
19.2,7.7,94.2,44.7,23.09
24.7,4.0,50.1,48.5,19.07
25.3,5.8,47.8,85.7,20.94
32.6,7.8,39.5,88.3,23.66
22.4,4.8,38.1,69.4,18.72
23.1,4.3,44.1,60.3,21.15
30.5,7.1,31.5,52.0,26.96
21.1,8.3,52.0,64.7,29.8
28.8,9.7,61.1,68.5,33.58
30.6,9.7,35.6,45.6,27.64
21.1,3.8,96.9,80.7,22.99
21.8,2.6,77.4,44.4,20.82
29.9,8.1,84.0,88.8,27.38
31.5,11.5,41.6,54.8,28.12
34.2,11.3,50.3,77.8,34.21
23.2,9.7,70.7,72.6,34.14
27.3,4.2,64.9,49.5,22.85
20.5,4.3,83.4,89.1,24.43
25.4,7.6,92.8,67.5,27.38
22.4,4.5,49.1,44.3,16.01
23.9,8.5,47.7,81.0,29.11
31.7,10.3,60.2,76.7,28.37
31.7,4.9,81.6,58.4,21.88
30.0,11.0,53.5,75.3,30.78
20.1,6.3,96.7,85.3,24.34
22.8,6.4,37.2,70.7,21.72
34.0,8.6,48.0,67.9,28.57
25.7,10.1,46.8,62.5,31.65
28.6,9.2,76.3,70.7,28.53
18.3,7.4,65.1,85.8,26.4
26.8,10.3,92.4,51.3,28.57
29.7,11.5,56.3,86.4,31.62
19.0,11.3,51.1,76.3,29.08
20.0,5.0,41.0,57.5,16.53
24.3,5.9,54.0,79.8,24.54
34.1,9.7,72.2,83.9,35.27
22.2,9.0,42.7,74.7,27.29
18.4,8.9,66.8,45.6,26.24
31.8,9.9,81.9,63.3,33.63
32.4,9.1,49.6,68.9,31.03
27.1,4.8,39.0,64.6,20.63
33.2,7.7,90.8,63.2,30.08
21.0,5.4,98.9,68.7,26.4
22.7,5.0,94.1,44.0,26.71
18.3,5.1,47.3,78.5,19.11
27.9,6.0,99.3,63.3,29.22
33.1,6.2,86.3,74.9,27.8
28.3,4.9,67.6,46.6,21.4
19.4,8.4,77.7,74.4,32.53
29.8,9.7,84.1,69.4,32.07
29.5,7.6,30.0,88.8,24.01
20.8,8.6,71.7,60.5,28.48
32.1,4.2,88.2,80.3,26.87
33.5,8.9,34.8,53.4,29.64
24.7,11.9,78.6,73.7,35.93
23.2,5.5,87.9,78.8,23.18
27.8,4.0,58.2,50.9,16.07
34.5,4.9,81.2,72.0,30.04
30.3,4.2,77.5,77.4,25.19
31.4,7.7,35.5,40.3,25.5
31.1,11.5,80.0,74.0,37.8
34.3,2.6,54.4,79.8,19.16
31.9,10.3,79.6,61.9,33.44
22.6,5.6,74.0,70.7,23.66
21.9,5.5,35.8,85.0,21.97
22.1,5.7,39.7,64.0,17.27
21.6,8.1,70.9,68.9,26.05
21.5,3.5,36.5,58.9,14.98
33.9,11.2,57.3,71.2,33.74
34.2,5.8,89.5,86.3,29.04
19.5,9.2,93.3,48.3,27.76
19.1,11.8,34.7,65.7,30.47
32.6,8.1,98.3,55.5,34.37
27.6,10.3,65.0,72.3,29.23
21.6,4.2,69.8,63.3,20.86
25.9,3.1,67.6,45.9,18.34
19.3,5.9,84.8,66.5,25.9
34.7,5.4,47.0,76.2,24.25
20.4,3.2,90.3,57.6,24.28
31.7,7.0,93.2,67.5,31.8
34.3,9.7,36.6,71.2,28.46
30.1,4.2,76.1,78.5,22.31
19.5,5.6,70.2,59.6,19.53
28.0,2.4,51.5,56.9,18.35
20.2,6.6,90.8,59.4,29.84
32.7,11.5,96.0,41.9,37.35
29.4,3.6,88.9,65.1,23.63
34.0,3.1,83.5,48.1,26.39
20.5,3.3,53.4,67.7,16.55
25.7,7.3,51.9,74.1,23.18
27.2,5.6,43.0,46.8,23.41
19.8,9.3,95.3,53.6,27.69
29.5,10.3,84.5,64.2,30.62
27.6,2.6,95.7,78.4,23.15
23.9,11.7,31.3,73.5,31.32
25.0,7.5,79.9,70.9,29.31
31.5,9.0,88.5,66.4,30.79
24.1,11.0,61.9,66.0,34.03
34.5,4.8,41.9,69.9,20.81
33.6,6.6,91.6,48.3,30.1
19.3,11.2,68.4,74.1,34.65
